date, value
1625173621.71729,103
1625173622.14116,135
1625173623.05997,74
1625173624.07350,71
1625173625.06264,117
1625173626.08526,94
1625173627.08813,84
1625173628.08326,74
1625173629.06754,85
1625173630.06456,156
1625173631.06257,86
1625173632.06886,86
1625173633.06186,78
1625173634.07054,59
1625173635.09738,86
1625173636.06908,86
1625173637.07313,143
1625173638.07770,88
1625173639.68670,94
1625173640.03763,88
1625173641.06664,63
1625173642.07026,79
1625173643.06598,68
1625173644.06428,98
1625173645.07790,89
1625173646.06157,140
1625173647.07654,85
1625173648.06173,92
1625173649.07274,79
1625173650.08479,57
1625173651.06831,79
1625173652.07298,67
1625173653.06880,91
